recommendedVideoURL,top20,recommendedAuthor,recommendedTitle,thumbnail,step,amount,equivalent,related,unrelated
https://youtube.com/watch?v=BtN-goy9VOY,TRUE,Kurzgesagt – In a Nutshell,El Coronavirus Explicado & Qué Deberías Hacer,https://i.ytimg.com/vi/BtN-goy9VOY/mqdefault.jpg,English,89,x,,
https://youtube.com/watch?v=Kas0tIxDvrg,TRUE,3Blue1Brown,Exponential growth and epidemics,https://i.ytimg.com/vi/Kas0tIxDvrg/mqdefault.jpg,English,10,,x,
https://youtube.com/watch?v=d0yGdNEWdn0,TRUE,TEDx Talks,Cómo aprender cualquier idioma en seis meses | Chris Lonsdale | TEDxLingnanUniversity,https://i.ytimg.com/vi/d0yGdNEWdn0/mqdefault.jpg,English,2,,,x
https://youtube.com/watch?v=OOJqHPfG7pA,TRUE,Science Insider,"What Coronavirus Symptoms Look Like, Day By Day",https://i.ytimg.com/vi/OOJqHPfG7pA/mqdefault.jpg,English,88,x,,
https://youtube.com/watch?v=-PUT0hZiZEw,TRUE,El Traductor de Ingeniería,Te Explico POR QUÉ estoy PREOCUPADO | [COVID-19],https://i.ytimg.com/vi/-PUT0hZiZEw/mqdefault.jpg,English,1,x,,
https://youtube.com/watch?v=1eL7llVPuJg,TRUE,Kroger Culinary 411,Culinary 411 - Basic Knife Skills,https://i.ytimg.com/vi/1eL7llVPuJg/mqdefault.jpg,English,2,,,x
https://youtube.com/watch?v=6Af6b_wyiwI,TRUE,TED,Bill Gates: ¿La próxima epidemia? No estamos listos,https://i.ytimg.com/vi/6Af6b_wyiwI/mqdefault.jpg,English,37,,x,
https://youtube.com/watch?v=2bI5pQGXl2o,TRUE,The Telegraph,What happens to your body when you get coronavirus,https://i.ytimg.com/vi/2bI5pQGXl2o/mqdefault.jpg,English,59,x,,
https://youtube.com/watch?v=XI6M4a0bEZY,TRUE,TED en Español,Cómo conquistamos el virus de la letal viruela - Simona Zompi,https://i.ytimg.com/vi/XI6M4a0bEZY/mqdefault.jpg,English,4,,x,
https://youtube.com/watch?v=TPpoJGYlW54,TRUE,Vox,How wildlife trade is linked to coronavirus,https://i.ytimg.com/vi/TPpoJGYlW54/mqdefault.jpg,English,50,x,,
https://youtube.com/watch?v=E8evf10Iwbg,TRUE,ProTrainings UK,Coronavirus Signs and Symptoms,https://i.ytimg.com/vi/E8evf10Iwbg/mqdefault.jpg,English,13,x,,
