"evidence","login","id","savingTime","clientTime","uxLang","parameter","recommendedId","recommendedVideoId","recommendedAuthor","recommendedTitle","recommendedLength","recommendedDisplayL","recommendedLengthText","recommendedPubTime","recommendedRelativeS","recommendedViews","recommendedForYou","recommendedVerified","recommendationOrder","recommendedKind","watchedVideoId","watchedTitle","watchedAuthor","watchedChannel","watchedPubTime","watchedViews","watchedLike","watchedDislike","hoursOffset","experiment","pseudonym","step","top20","isAPItoo","thumbnail","qualitative"
0,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","2f577cef26c0e61ec54ac3ad725dafb5104fc6cf","BtN-goy9VOY","Kurzgesagt – In a Nutshell","El Coronavirus Explicado & Qué Deberías Hacer",30900,"8:35","8 minutos y 35 segundos",2020-03-20T02:45:01.000Z,604800,17854,"true","true",1,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","true","https://i.ytimg.com/vi/BtN-goy9VOY/mqdefault.jpg","relevant"
1,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","34e5c75b0a8c4dace77b05752922abb79ab9637c","Kas0tIxDvrg","3Blue1Brown","Exponential growth and epidemics",32220,"8:57","8 minutos y 57 segundos",2020-03-13T02:45:01.000Z,1209600,4801,"true","true",2,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","false","https://i.ytimg.com/vi/Kas0tIxDvrg/mqdefault.jpg","linked"
2,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","ebb78ecc5d3cd9442b3d15e7377057e63487e12d","d0yGdNEWdn0","TEDx Talks","Cómo aprender cualquier idioma en seis meses | Chris Lonsdale | TEDxLingnanUniversity",66420,"18:27","18 minutos",2014-03-27T02:45:01.000Z,189302400,20573,"true","true",3,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","false","https://i.ytimg.com/vi/d0yGdNEWdn0/mqdefault.jpg","off-topic"
3,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","7637db0e1bd56ebc1b1a307cd1743b903e425394","OOJqHPfG7pA","Science Insider","What Coronavirus Symptoms Look Like, Day By Day",19140,"5:19","5 minutos y 19 segundos",2020-03-20T02:45:01.000Z,604800,11678,"true","true",4,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","true","https://i.ytimg.com/vi/OOJqHPfG7pA/mqdefault.jpg","relevant"
4,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","f9db45cdc9cf037417b2ddf81808bb41ba020faf","-PUT0hZiZEw","El Traductor de Ingeniería","Te Explico POR QUÉ estoy PREOCUPADO | [COVID-19]",92700,"25:45","25 minutos",2020-03-20T02:45:01.000Z,604800,1824,"true","true",5,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","true","https://i.ytimg.com/vi/-PUT0hZiZEw/mqdefault.jpg","relevant"
5,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","248e0d74a17c8acc1ac6760d61773cae2c2c2665","1eL7llVPuJg","Kroger Culinary 411","Culinary 411 - Basic Knife Skills",29580,"8:13","8 minutos y 13 segundos",2012-03-27T01:45:01.000Z,252460800,5554,"true","true",6,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","false","https://i.ytimg.com/vi/1eL7llVPuJg/mqdefault.jpg","off-topic"
6,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","4bf50d719ed1a733749133881cd453951f96b14c","6Af6b_wyiwI","TED","Bill Gates: ¿La próxima epidemia? No estamos listos",31020,"8:37","8 minutos y 37 segundos",2016-03-27T01:45:01.000Z,126230400,18357,"true","true",7,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","false","https://i.ytimg.com/vi/6Af6b_wyiwI/mqdefault.jpg","linked"
7,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","57ba6a30890a26eddc14f3a1ebff379bf31876d9","2bI5pQGXl2o","The Telegraph","What happens to your body when you get coronavirus",7560,"2:06","2 minutos y 6 segundos",2020-03-06T02:45:01.000Z,1814400,2337,"false","true",8,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","false","https://i.ytimg.com/vi/2bI5pQGXl2o/mqdefault.jpg","relevant"
8,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","bc15a34628c2b0bbb0aa63a7290f04c44b738908","XI6M4a0bEZY","TED en Español","Cómo conquistamos el virus de la letal viruela - Simona Zompi",16440,"4:34","4 minutos y 34 segundos",2016-03-27T01:45:01.000Z,126230400,391829,"true","true",9,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","false","https://i.ytimg.com/vi/XI6M4a0bEZY/mqdefault.jpg","linked"
9,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","20a2711531004ec430c1bacd4af9fd4bc5c1f17b","TPpoJGYlW54","Vox","How wildlife trade is linked to coronavirus",31740,"8:49","8 minutos y 49 segundos",2020-03-13T02:45:01.000Z,1209600,19875,"false","true",10,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","false","https://i.ytimg.com/vi/TPpoJGYlW54/mqdefault.jpg","relevant"
