uxLang,recommendedVideoId,hoursOffset,pseudonym,top20,isAPItoo,step
es,sCVBHktfizc,46,nachos-taco-manicotti,true,false,Chinese
es,Kas0tIxDvrg,46,nachos-taco-manicotti,true,false,Chinese
es,-PUT0hZiZEw,46,nachos-taco-manicotti,true,true,Chinese
es,XQ_LkR_zqgc,46,nachos-taco-manicotti,true,false,Chinese
es,iywaBOMvYLI,46,nachos-taco-manicotti,true,false,Chinese
es,5FemcGdN3Xw&t=24s,46,nachos-taco-manicotti,true,false,Chinese
es,fRseMUZ2NOM,46,nachos-taco-manicotti,true,false,Chinese
es,8nTFjVm9sTQ,46,nachos-taco-manicotti,true,false,Chinese
es,z5VyCp_1YnA,46,nachos-taco-manicotti,true,false,Chinese
es,6Af6b_wyiwI,46,nachos-taco-manicotti,true,false,Chinese
es,1G4isv_Fylg,46,nachos-taco-manicotti,true,false,Chinese
es,IyeUGuXYuVU,46,nachos-taco-manicotti,true,true,Chinese
es,k7k7iQKhYFg,46,nachos-taco-manicotti,true,true,Chinese
es,QH680p8Aor0,46,nachos-taco-manicotti,true,true,Chinese
es,YznOe67DXlc,46,nachos-taco-manicotti,true,false,Chinese
es,RyNfweT_Jv4,46,nachos-taco-manicotti,true,true,Chinese
es,yNCEqTqRR_w,46,nachos-taco-manicotti,true,true,Chinese
es,0u3xH5MN12k,46,nachos-taco-manicotti,true,true,Chinese
es,NRuho_2jWog,46,nachos-taco-manicotti,true,false,Chinese
es,ZDFe-loITh0,46,nachos-taco-manicotti,true,true,Chinese
es,tmCjJsVCPlI,46,nachos-taco-manicotti,false,false,Chinese
es,L5KTPCvY4Zk,46,nachos-taco-manicotti,false,false,Chinese
es,BVVmGSAnYv0,46,nachos-taco-manicotti,false,false,Chinese
es,wtga4sF1bXQ,46,nachos-taco-manicotti,false,false,Chinese
es,nLhJ9MW3VMw,46,nachos-taco-manicotti,false,false,Chinese
es,EhDzvTvVyko,46,nachos-taco-manicotti,false,true,Chinese
es,_m_KCEBQv3s,46,nachos-taco-manicotti,false,true,Chinese
es,ANYocp043Ak,46,nachos-taco-manicotti,false,false,Chinese
es,n7ZsAAwc4X0,46,nachos-taco-manicotti,false,false,Chinese
es,q8W1yFgMxhU,46,nachos-taco-manicotti,false,false,Chinese
es,OeeGU5EJUF8,46,nachos-taco-manicotti,false,true,Chinese
es,iX0ilDtZu6w,46,nachos-taco-manicotti,false,true,Chinese
es,hABr-YoY8us,46,nachos-taco-manicotti,false,false,Chinese
es,E46_veB0DPU,46,nachos-taco-manicotti,false,true,Chinese
es,-_ZYWIf4iy4,46,nachos-taco-manicotti,false,false,Chinese
es,x_u152u8bRQ,46,nachos-taco-manicotti,false,true,Chinese
es,TOkEeF4NRqY,46,nachos-taco-manicotti,false,false,Chinese
es,vaOEI9kGOZA,46,nachos-taco-manicotti,false,false,Chinese
es,cALjH2ulXlg,46,nachos-taco-manicotti,false,false,Chinese
es,ma7mOWKQ4-M,46,nachos-taco-manicotti,false,false,Chinese
es,r5da1HAjiq8,46,nachos-taco-manicotti,false,false,Chinese
es,DXsDcsHML0A,46,nachos-taco-manicotti,false,false,Chinese
es,Tf-yKUwQZvo,46,nachos-taco-manicotti,false,false,Chinese
es,X5f2wnR6GXE,46,nachos-taco-manicotti,false,false,Chinese
es,f6SOu9cq4OU,46,nachos-taco-manicotti,false,true,Chinese
es,T35UQSWSM94,46,nachos-taco-manicotti,false,false,Chinese
es,6199RbjQoEs,46,nachos-taco-manicotti,false,false,Chinese
es,ltlcmSWzALY,46,nachos-taco-manicotti,true,true,Spanish
es,-PUT0hZiZEw,46,nachos-taco-manicotti,true,true,Spanish
es,IVFtZQKNVMA,46,nachos-taco-manicotti,true,false,Spanish
es,EtSN8GGBwsM&t=34s,46,nachos-taco-manicotti,true,false,Spanish
es,VFfdt2xHDxU,46,nachos-taco-manicotti,true,false,Spanish
es,NSes7TI_Pkk,46,nachos-taco-manicotti,true,true,Spanish
es,AYQ8hT8cVTE,46,nachos-taco-manicotti,true,false,Spanish
es,m3hsaL4GZ4M,46,nachos-taco-manicotti,true,true,Spanish
es,TxNwYce6WoM,46,nachos-taco-manicotti,true,true,Spanish
es,CmKNrXymJzY,46,nachos-taco-manicotti,true,true,Spanish
es,XI6M4a0bEZY,46,nachos-taco-manicotti,true,false,Spanish
es,gkoo5PbwO_E,46,nachos-taco-manicotti,true,true,Spanish
es,TBuHqj-S9F4,46,nachos-taco-manicotti,true,true,Spanish
es,sJ49HkgFylc,46,nachos-taco-manicotti,true,true,Spanish
es,dVtxXh_Ls7Y,46,nachos-taco-manicotti,true,false,Spanish
es,pFet8T2evZU,46,nachos-taco-manicotti,true,false,Spanish
es,JCMYjez93pk,46,nachos-taco-manicotti,true,true,Spanish
es,WKkkyLM0BYs,46,nachos-taco-manicotti,true,true,Spanish
es,b07gvHqI47Q,46,nachos-taco-manicotti,true,false,Spanish
es,Y36en98lbNw,46,nachos-taco-manicotti,true,true,Spanish
es,NvW9gRwtQgI,46,nachos-taco-manicotti,false,false,Spanish
es,XCrOde-JYs0,46,nachos-taco-manicotti,false,false,Spanish
es,rFWzfc4lgKQ,46,nachos-taco-manicotti,false,false,Spanish
es,CzbxKK2Kef0,46,nachos-taco-manicotti,false,false,Spanish
es,cquOiDeqb_8,46,nachos-taco-manicotti,false,false,Spanish
es,8UDPGYUV4sE,46,nachos-taco-manicotti,false,true,Spanish
es,53w0-PcTkkw,46,nachos-taco-manicotti,false,true,Spanish
es,Ztt_6BppwHs,46,nachos-taco-manicotti,false,true,Spanish
es,cNgOmnGsofY,46,nachos-taco-manicotti,false,true,Spanish
es,OV99rWrU470,46,nachos-taco-manicotti,false,false,Spanish
es,yQXPGgh0WMk,46,nachos-taco-manicotti,false,true,Spanish
es,SQ7EtGRwcMg,46,nachos-taco-manicotti,false,false,Spanish
es,4ESWLnxyZUo,46,nachos-taco-manicotti,false,false,Spanish
es,LBVGmtqpmwc,46,nachos-taco-manicotti,false,false,Spanish
es,Ssv-IDzvzUo,46,nachos-taco-manicotti,false,true,Spanish
es,_1091G64p5c,46,nachos-taco-manicotti,false,true,Spanish
es,s42NMxiY06M,46,nachos-taco-manicotti,false,true,Spanish
es,B_Gzc2Z7uQY,46,nachos-taco-manicotti,false,true,Spanish
es,JKKgAiM9MQc,46,nachos-taco-manicotti,false,false,Spanish
es,SmxJzOgsirY,46,nachos-taco-manicotti,false,true,Spanish
es,BtN-goy9VOY,46,nachos-taco-manicotti,true,true,English
es,Kas0tIxDvrg,46,nachos-taco-manicotti,true,false,English
es,d0yGdNEWdn0,46,nachos-taco-manicotti,true,false,English
es,OOJqHPfG7pA,46,nachos-taco-manicotti,true,true,English
es,-PUT0hZiZEw,46,nachos-taco-manicotti,true,true,English
es,1eL7llVPuJg,46,nachos-taco-manicotti,true,false,English
es,6Af6b_wyiwI,46,nachos-taco-manicotti,true,false,English
es,2bI5pQGXl2o,46,nachos-taco-manicotti,true,false,English
es,XI6M4a0bEZY,46,nachos-taco-manicotti,true,false,English
es,TPpoJGYlW54,46,nachos-taco-manicotti,true,false,English
es,E8evf10Iwbg,46,nachos-taco-manicotti,true,true,English
es,2JsWf-2nN1Y,46,nachos-taco-manicotti,true,true,English
es,Zi_XLOBDo_Y,46,nachos-taco-manicotti,true,false,English
es,vdx4Jo0GCRU,46,nachos-taco-manicotti,true,false,English
es,G9oqvJ3iXGI,46,nachos-taco-manicotti,true,false,English
es,1APwq1df6Mw,46,nachos-taco-manicotti,true,false,English
es,T7TGH2rO9-Y,46,nachos-taco-manicotti,true,true,English
es,ek3T8xiu1Fw,46,nachos-taco-manicotti,true,false,English
es,z2KpsZRpoZ8,46,nachos-taco-manicotti,true,false,English
es,Z3i1qyZOumc,46,nachos-taco-manicotti,true,false,English
es,qcT_IPrEvl0,46,nachos-taco-manicotti,false,false,English
