login,uxLang,recommendedVideoId,recommendedAuthor,recommendedForYou,pseudonym,isAPItoo,step
true,es,sCVBHktfizc,新唐人電視臺,false,nachos-taco-manicotti,false,Chinese
true,es,Kas0tIxDvrg,3Blue1Brown,true,nachos-taco-manicotti,false,Chinese
true,es,-PUT0hZiZEw,El Traductor de Ingeniería,true,nachos-taco-manicotti,true,Chinese
true,es,XQ_LkR_zqgc,El Mapa de Sebas,true,nachos-taco-manicotti,false,Chinese
true,es,iywaBOMvYLI,System Of A Down,true,nachos-taco-manicotti,false,Chinese
true,es,5FemcGdN3Xw&t=24s,El Traductor de Ingeniería,true,nachos-taco-manicotti,false,Chinese
true,es,fRseMUZ2NOM,Learn English With TV Series,true,nachos-taco-manicotti,false,Chinese
true,es,8nTFjVm9sTQ,Radiohead,true,nachos-taco-manicotti,false,Chinese
true,es,z5VyCp_1YnA,AuronPlay,true,nachos-taco-manicotti,false,Chinese
true,es,6Af6b_wyiwI,TED,true,nachos-taco-manicotti,false,Chinese
true,es,1G4isv_Fylg,Coldplay,true,nachos-taco-manicotti,false,Chinese
true,es,IyeUGuXYuVU,BBC News 中文,false,nachos-taco-manicotti,true,Chinese
true,es,k7k7iQKhYFg,cheap,false,nachos-taco-manicotti,true,Chinese
true,es,QH680p8Aor0,BBC News 中文,false,nachos-taco-manicotti,true,Chinese
true,es,YznOe67DXlc,台視新聞 TTV NEWS,false,nachos-taco-manicotti,false,Chinese
true,es,RyNfweT_Jv4,BBC News 中文,false,nachos-taco-manicotti,true,Chinese
true,es,yNCEqTqRR_w,VS MEDIA Taiwan,false,nachos-taco-manicotti,true,Chinese
true,es,0u3xH5MN12k,BBC News 中文,false,nachos-taco-manicotti,true,Chinese
true,es,NRuho_2jWog,BBC News 中文,false,nachos-taco-manicotti,false,Chinese
true,es,ZDFe-loITh0,BBC News 中文,false,nachos-taco-manicotti,true,Chinese
true,es,tmCjJsVCPlI,USA TODAY,false,nachos-taco-manicotti,false,Chinese
true,es,L5KTPCvY4Zk,關鍵時刻,false,nachos-taco-manicotti,false,Chinese
